"","Name","Model","AIC","AIC_wt","AICc","AICc_wt","BIC","BIC_wt","R2_conditional","R2_marginal","ICC","RMSE","Sigma"
"1","dMint","lmerMod",-903.535590882605,1.24958047606443e-182,-903.528372837492,1.41363413142765e-182,-885.20430916988,4.50220532679843e-160,0.76446799321918,0,0.76446799321918,0.131571880756369,0.151197293661558
"2","dMcov","lmerMod",-999.982542594776,1.09636129074349e-161,-999.916237591762,1.2041924918163e-161,-938.878270219026,2.03506296204623e-148,0.764989288996464,0.0943927890933736,0.740493772384762,0.131807259559618,0.151197684253887
"3","dMdecay","lmerMod",-1527.17291109397,3.29524469369868e-47,-1527.09332110302,3.59538243546347e-47,-1459.95821148065,2.8817042726998e-35,0.811938009892933,0.128801518368539,0.784134162223411,0.11781323508416,0.135637740077545
"4","dMnovelty","lmerMod",-1537.01856520066,4.52735233301176e-45,-1536.92447593648,4.90403137318734e-45,-1463.69343834976,1.86527822083192e-34,0.812127064208854,0.138298186404197,0.781974538260318,0.117822435624066,0.13562801980757
"5","dMclim","lmerMod",-1562.18448085475,1.31993773332018e-39,-1562.05774579139,1.40660917201501e-39,-1476.6384995287,1.20705744299875e-31,0.812021264597518,0.160920818149296,0.77597020702162,0.117894665888769,0.135652905639995
"6","dMdivNoPost","lmerMod",-1594.84642203124,1.63306644331038e-32,-1594.66158361384,1.69046768246685e-32,-1490.96915899246,1.56167659640909e-28,0.8122892590809,0.189461599155164,0.768412279142548,0.117943855082535,0.135636638885842
"7","dMdivNoPostabs","lmerMod",-1566.22250741779,9.9403064013559e-39,-1566.0376690004,1.02897018024862e-38,-1462.34524437902,9.50576379284689e-35,0.812679907879616,0.169018294870393,0.774579763953807,0.117892111677469,0.135641846748691
"8","dMdivDirDir","lmerMod",-1716.33163057065,3.91905813364724e-06,-1716.07770070366,3.91905813364724e-06,-1594.12308581915,3.91905813364724e-06,0.824562855785002,0.205096644268266,0.779297517176157,0.11472849046324,0.132118575246054
"9","dMdivAbsDir","lmerMod",-1687.20095476299,1.85155163102928e-12,-1686.947024896,1.85155163102928e-12,-1564.99241001149,1.85155163102928e-12,0.82196285373674,0.188003227055725,0.780741559331939,0.115100971242965,0.132561404664066
"10","dMdivDirAbs","lmerMod",-1741.23093988767,0.999995453457999,-1740.97701002068,0.999995453457999,-1619.02239513617,0.999995453457999,0.819001896264436,0.209177307694557,0.771126820845378,0.115027068976127,0.132380605490138
"11","dMdivAbsAbs","lmerMod",-1712.66784732704,6.27482015527788e-07,-1712.41391746005,6.27482015527788e-07,-1590.45930257554,6.27482015527788e-07,0.819178509684216,0.189243675501266,0.776971841166234,0.114999680307519,0.13240904647066
