"","Name","Model","AIC","AIC_wt","AICc","AICc_wt","BIC","BIC_wt","R2_conditional","R2_marginal","ICC","RMSE","Sigma"
"1","dRint","lmerMod",-8119.21848780718,3.04559949803654e-171,-8119.21126976207,3.44544707888156e-171,-8100.88720609446,1.09732142475016e-148,0.769199512138951,0,0.769199512138951,0.0443539900589643,0.0509889433660182
"2","dRcov","lmerMod",-8279.45957157223,1.90362771421124e-136,-8279.39326656921,2.09085656345208e-136,-8218.35529919648,3.53350878713228e-123,0.768147327788625,0.137270508247327,0.731256814067691,0.0444530959632719,0.0509543528980193
"3","dRdecay","lmerMod",-8332.2385824698,5.50045499320267e-125,-8332.15899247885,6.00144787652198e-125,-8265.02388285648,4.81016923751177e-113,0.772894991544326,0.141334049414294,0.735514132939867,0.0439570706138126,0.0504131600101954
"4","dRnovelty","lmerMod",-8337.58255947119,7.95844972363459e-124,-8337.48847020701,8.62059858740232e-124,-8264.25743262028,3.2788972116946e-113,0.773352342571448,0.147696645547989,0.73407630482192,0.0439582261274505,0.0504096128234508
"5","dRclim","lmerMod",-8367.05082007614,1.99425166372829e-117,-8366.92408501278,2.12520076568263e-117,-8281.50483875009,1.8237044469222e-109,0.77398723185754,0.173902080937608,0.726409227130144,0.043980270872607,0.0504054085881689
"6","dRdivNoPost","lmerMod",-8392.65525984446,7.23958072102627e-112,-8392.47042142706,7.49404734487793e-112,-8288.77799680569,6.92310091003969e-108,0.773995123791553,0.196150794582288,0.718846675862538,0.0440132093769652,0.050414850786021
"7","dRdivNoPostabs","lmerMod",-8363.65937560984,3.65878722756268e-118,-8363.47453719244,3.78739125437951e-118,-8259.78211257106,3.49884256573218e-114,0.774494447648406,0.175687784392339,0.726431868796998,0.0439796485872941,0.0504077811359319
"8","dRdivDirDir","lmerMod",-8904.47519408861,1,-8904.22126422162,1,-8782.26664933711,1,0.802267292072036,0.302390090892111,0.716556910464722,0.0407804441996256,0.0467261209165226
"9","dRdivAbsDir","lmerMod",-8783.52883526362,5.45546630820473e-27,-8783.27490539663,5.45546630820473e-27,-8661.32029051212,5.45546630820473e-27,0.792620565192236,0.260620087802817,0.719522492582327,0.0414461296642448,0.0475001734065701
"10","dRdivDirAbs","lmerMod",-8767.00117336384,1.40570987941135e-30,-8766.74724349685,1.40570987941135e-30,-8644.79262861234,1.40570987941135e-30,0.792023974975771,0.261651893210867,0.718322532269151,0.0415814062492235,0.0476517646651334
"11","dRdivAbsAbs","lmerMod",-8774.23743468276,5.23877657963371e-29,-8773.98350481577,5.23877657963371e-29,-8652.02888993126,5.23877657963371e-29,0.791242372369272,0.254073059966531,0.72013662943805,0.0414858328510156,0.0475493315775637
