"","taxa","count"
"9576","Poaceae",247031
"4244","Cyperaceae",240143
"1523","Betula",213994
"1079","Artemisia",187234
"9285","Pinus",173685
"10397","Quercus",171112
"432","Alnus",168680
"11029","Salix",164513
"12754","Ulmus",157227
"3932","Corylus",126125
"521","Amaranthaceae",124963
"9212","Picea",116949
"11869","Sphagnum",99380
"11095","Sample quantity",97858
"852","Apiaceae",95456
"12366","Tilia",91431
"6706","Indeterminable",87408
"7562","Lycopodium spike",85217
"9","Abies",84062
"3473","Cichorioideae",83940
"7564","Lycopodium tablets",81438
"5503","Fagus",79735
"12780","Unknown",67463
"5642","Fraxinus",63618
"5568","Filipendula",63342
"12298","Thalictrum",62449
"1782","Brassicaceae",61861
"1243","Asteroideae",58008
"6893","Juniperus",57837
"4964","Ericaceae",56369
"2203","Caryophyllaceae",53197
"10783","Rosaceae",50822
"10894","Rumex",49761
"87","Acer",48741
"4928","Equisetum",44288
"9965","Populus",44068
"8923","Pediastrum",43525
"10282","Pteridium",42704
"10479","Ranunculaceae",42657
"1263","Asteroideae undiff.",41193
"10827","Rubiaceae",38516
"9384","Pinus undiff.",38510
"9475","Plantago lanceolata",35756
"3935","Corylus avellana",35288
"3377","Charcoal",35040
"10000","Potamogeton",34118
"9807","Polypodiaceae",33295
"11880","Spike",32659
"2169","Carpinus",30941
"2002","Calluna vulgaris",30912
"9922","Polypodium",30539
"7085","Larix",30387
"13491","Varia",29853
"8743","Ostrya/Carpinus",29354
"9438","Plantago",28739
"9656","Poaceae undiff.",28729
"4107","Cupressaceae",28674
"544","Ambrosia",28249
"12898","Unknown (monolete)",26618
"1749","Botryococcus",26598
"10283","Pteridium aquilinum",26431
"9868","Polypodiophyta (monolete)",26369
"8278","Myrica",26358
"2192","Carya",26325
"13358","Urtica",25758
"5397","Fabaceae",25755
"9365","Pinus subg. Pinus",25598
"4705","Dryopteris-type",24869
"5655","Fraxinus excelsior",24867
"10806","Rosaceae undiff.",24547
"12986","Unknown (trilete)",24536
"1205","Asteraceae",23821
"8508","Nymphaea",23458
"2001","Calluna",23077
"2172","Carpinus betulus",23031
"12666","Tsuga",22810
"6798","Isoëtes",22715
"4268","Cyperaceae undiff.",21440
"7040","Lamiaceae",21327
"9370","Pinus subg. Strobus",20977
"12709","Typha latifolia",20696
"9612","Poaceae (Cerealia-type)",20234
"6857","Juglans",20021
"1237","Asteraceae undiff.",20005
"10032","Potentilla-type",19947
"6333","Helianthemum",19405
"10898","Rumex acetosa-type",19279
"8297","Myriophyllum",19146
"6310","Hedera",18393
"549","Ambrosia-type",18105
